[89/500][0/12]	Loss_D: 0.2608	Loss_G: 4.1069	D(x): 0.9706	D(G(z)): 0.1887 / 0.0262
[90/500][0/12]	Loss_D: 0.5029	Loss_G: 6.7576	D(x): 0.9394	D(G(z)): 0.3203 / 0.0033
[91/500][0/12]	Loss_D: 0.6454	Loss_G: 5.9430	D(x): 0.9740	D(G(z)): 0.4060 / 0.0065
[92/500][0/12]	Loss_D: 0.8946	Loss_G: 7.0397	D(x): 0.9916	D(G(z)): 0.5168 / 0.0026
[93/500][0/12]	Loss_D: 0.3979	Loss_G: 5.8994	D(x): 0.9669	D(G(z)): 0.2666 / 0.0057
[94/500][0/12]	Loss_D: 0.5397	Loss_G: 3.5723	D(x): 0.6637	D(G(z)): 0.0387 / 0.0664
[95/500][0/12]	Loss_D: 0.4165	Loss_G: 5.4704	D(x): 0.9507	D(G(z)): 0.2710 / 0.0070
[96/500][0/12]	Loss_D: 0.3110	Loss_G: 5.0412	D(x): 0.9741	D(G(z)): 0.2293 / 0.0121
[97/500][0/12]	Loss_D: 0.4347	Loss_G: 6.2158	D(x): 0.9259	D(G(z)): 0.2627 / 0.0038
[98/500][0/12]	Loss_D: 0.5531	Loss_G: 6.4512	D(x): 0.9941	D(G(z)): 0.3863 / 0.0030
[99/500][0/12]	Loss_D: 2.7362	Loss_G: 11.3630	D(x): 0.9980	D(G(z)): 0.8881 / 0.0001
[100/500][0/12]	Loss_D: 0.2689	Loss_G: 4.4730	D(x): 0.9523	D(G(z)): 0.1723 / 0.0189
[101/500][0/12]	Loss_D: 1.7145	Loss_G: 7.0149	D(x): 0.9724	D(G(z)): 0.6930 / 0.0016
[102/500][0/12]	Loss_D: 0.1545	Loss_G: 3.6303	D(x): 0.9688	D(G(z)): 0.1101 / 0.0385
[103/500][0/12]	Loss_D: 0.1354	Loss_G: 4.3033	D(x): 0.9598	D(G(z)): 0.0854 / 0.0199
[104/500][0/12]	Loss_D: 0.2209	Loss_G: 4.4794	D(x): 0.9236	D(G(z)): 0.1240 / 0.0174
[105/500][0/12]	Loss_D: 0.3915	Loss_G: 4.7412	D(x): 0.9296	D(G(z)): 0.1603 / 0.0302
[106/500][0/12]	Loss_D: 0.6908	Loss_G: 7.3617	D(x): 0.9886	D(G(z)): 0.4456 / 0.0013
[107/500][0/12]	Loss_D: 0.2221	Loss_G: 4.1624	D(x): 0.8839	D(G(z)): 0.0853 / 0.0239
[108/500][0/12]	Loss_D: 1.0473	Loss_G: 10.7263	D(x): 0.9833	D(G(z)): 0.5562 / 0.0002
[109/500][0/12]	Loss_D: 0.0822	Loss_G: 3.4036	D(x): 0.9626	D(G(z)): 0.0366 / 0.0635
[110/500][0/12]	Loss_D: 0.2311	Loss_G: 4.2347	D(x): 0.8607	D(G(z)): 0.0684 / 0.0244
